idComercializacion,EstadoComercializacion,Fecha
11956,0,08/05/2023
11956,1,23/06/2023
11277,0,30/03/2023
11277,1,26/04/2023
9784,0,03/01/2023
9784,1,25/04/2023
10202,0,27/01/2023
10202,1,17/11/2023
11487,0,10/04/2023
11487,1,25/05/2023
11849,0,02/05/2023
11849,1,25/05/2023
10573,0,20/02/2023
10573,1,04/05/2023
11425,0,06/04/2023
11425,1,03/05/2023
11042,0,16/03/2023
11042,1,12/09/2023
11042,3,27/04/2023
11403,0,05/04/2023
11403,1,14/04/2023
11414,0,05/04/2023
11414,1,14/04/2023
10715,0,28/02/2023
10715,1,17/05/2023
10715,3,27/04/2023
11364,0,04/04/2023
11364,2,10/04/2023
11402,0,05/04/2023
11402,1,14/04/2023
11402,1,14/04/2023
11401,0,05/04/2023
11401,1,08/05/2023
11361,0,03/04/2023
11361,1,01/12/2023
11363,0,04/04/2023
11363,1,11/05/2023
11530,0,13/04/2023
11530,1,18/04/2023
10948,0,13/03/2023
10948,0,10/04/2023
10948,1,06/04/2023
10948,1,19/04/2023
11385,0,04/04/2023
11385,2,25/04/2023
11404,0,05/04/2023
11404,1,14/04/2023
11405,0,05/04/2023
11405,1,14/04/2023
11336,0,03/04/2023
11336,1,24/05/2023
11336,3,26/04/2023
11224,0,27/03/2023
11224,1,01/06/2023
11224,3,23/05/2023
11413,0,05/04/2023
11413,1,28/04/2023
11038,0,16/03/2023
11038,1,29/05/2023
11038,3,17/04/2023
11779,0,26/04/2023
11779,1,21/05/2023
11043,0,16/03/2023
11043,1,30/06/2023
11710,0,21/04/2023
11710,1,29/06/2023
11737,0,24/04/2023
11737,1,09/06/2023
11608,0,18/04/2023
11608,1,28/11/2023
11609,0,18/04/2023
11609,1,28/11/2023
11610,0,18/04/2023
11610,1,28/11/2023
11327,0,31/03/2023
11327,0,29/08/2023
11327,1,14/08/2023
11327,1,29/08/2023
11327,3,14/06/2023
11350,0,03/04/2023
11350,1,17/04/2023
11368,0,04/04/2023
11368,1,02/08/2023
11368,3,09/05/2023
11377,0,04/04/2023
11377,1,28/11/2023
11212,0,27/03/2023
11212,2,05/04/2023
11483,0,10/04/2023
11483,1,01/06/2023
11483,3,11/05/2023
11369,0,04/04/2023
11369,1,28/11/2023
11349,0,03/04/2023
11349,1,28/11/2023
11422,0,06/04/2023
11422,1,28/11/2023
11421,0,06/04/2023
11421,1,28/11/2023
11423,0,06/04/2023
11423,1,28/11/2023
11424,0,06/04/2023
11424,1,28/11/2023
11333,0,03/04/2023
11333,1,28/11/2023
12102,0,16/05/2023
12102,1,02/08/2023
11398,0,05/04/2023
11398,1,12/04/2023
11548,0,14/04/2023
11548,2,18/07/2023
11549,0,14/04/2023
11549,2,18/07/2023
11497,0,11/04/2023
11497,1,09/05/2023
11902,0,04/05/2023
11902,1,29/06/2023
11200,0,24/03/2023
11200,1,17/04/2023
11436,0,06/04/2023
11436,1,30/05/2023
11282,0,30/03/2023
11282,1,13/07/2023
11358,0,03/04/2023
11358,1,28/08/2023
11354,0,03/04/2023
11354,1,06/04/2023
11563,0,14/04/2023
11563,1,08/06/2023
11406,0,05/04/2023
11406,1,11/05/2023
11234,0,28/03/2023
11234,1,25/05/2023
11234,3,23/05/2023
11665,0,20/04/2023
