idComercializacion,CodigoCotizacion,ClienteId,Cliente,LiderComercial,FechaInicio,ValorVenta,ValorCotizacion,NumeroEstados,EsSENCE
11956,CAL190333-2,283,PYC,kriquelme@insecap.cl,10/05/2023,640000,640000,2,0
11277,CAL190770-3,1034,Algoritmos Spa,kriquelme@insecap.cl,25/04/2023,350000,350000,2,0
9784,CAL193368-2,403,ROCMIN SPA,kriquelme@insecap.cl,20/04/2023,140000,140000,2,0
10202,CAL194014,273,PARTICULAR,sriquelme@insecap.cl,15/04/2023,62500,62500,2,0
11487,ANT194046-2,226,KOMATSU CHILE S.A,chervera@insecap.cl,13/04/2023,921200,921200,2,0
11849,ANT194047-2,226,KOMATSU CHILE S.A,chervera@insecap.cl,03/05/2023,733400,743400,2,0
10573,CAL194355-1,683,Minera Lomas Bayas,kriquelme@insecap.cl,21/04/2023,632000,632000,2,0
11425,ANT194456,1024,FERRONOR S.A.,sriquelme@insecap.cl,26/04/2023,570000,570000,2,0
11042,ANT194546-4,697,ALBEMARLE LIMITADA,kriquelme@insecap.cl,05/04/2023,945000,945000,3,1
11403,CAL194557,934,EPIROC CHILE,kriquelme@insecap.cl,05/04/2023,75000,75000,2,0
11414,CAL194609,405,FCAB,sriquelme@insecap.cl,13/04/2023,460000,460000,2,0
10715,ANT194632-2,246,METSO,kriquelme@insecap.cl,12/04/2023,598416,565600,3,1
11364,CAL194663-1,1035,Sociedad comercial acla spa ,sriquelme@insecap.cl,11/04/2023,525000,525000,2,0
11402,ANT194688,934,EPIROC CHILE,kriquelme@insecap.cl,05/04/2023,50000,0,3,0
11401,ANT194704-1,226,KOMATSU CHILE S.A,chervera@insecap.cl,10/04/2023,680600,680600,2,0
11361,ANT194705-2,226,KOMATSU CHILE S.A,chervera@insecap.cl,11/04/2023,623400,623400,2,0
11363,CAL194916-4,844,BIBARO SPA,sbarraza@insecap.cl,05/04/2023,339000,339000,2,0
11530,CAL194923-3,403,ROCMIN SPA,kriquelme@insecap.cl,17/04/2023,363000,363000,2,0
10948,ANT194974-1,148,DTSA,chervera@insecap.cl,04/04/2023,600200,600200,4,0
11385,CAL195027-2,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,26/04/2023,720000,720000,2,0
11404,CAL195045,934,EPIROC CHILE,kriquelme@insecap.cl,05/04/2023,30000,0,2,0
11405,CAL195046,934,EPIROC CHILE,kriquelme@insecap.cl,05/04/2023,50000,0,2,0
11336,CAL195066-3,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,04/04/2023,1035000,1035000,3,1
11224,CAL195095-4,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,19/04/2023,1350000,1350000,3,1
11413,ANT195099-2,964,FLUITEK MARCO SPA,sriquelme@insecap.cl,13/04/2023,581000,581000,2,0
11038,CAL195120-1,296,SALFA MANTENCIONES,sriquelme@insecap.cl,03/04/2023,595000,595000,3,1
11779,CAL195137-1,1048,ATLAS COPCO CHILE SPA,kriquelme@insecap.cl,03/05/2023,630000,630000,2,0
11043,ANT195155,697,ALBEMARLE LIMITADA,kriquelme@insecap.cl,12/04/2023,945000,0,2,0
11710,CAL195205-7,223,JOY GLOBAL,kriquelme@insecap.cl,21/04/2023,1440000,1440000,2,0
11737,CAL195222,246,METSO,kriquelme@insecap.cl,28/04/2023,990000,0,2,0
11608,CAL195248-1,299,SEMAR,sriquelme@insecap.cl,19/04/2023,240000,240000,2,0
11609,CAL195250-1,299,SEMAR,sriquelme@insecap.cl,20/04/2023,240000,240000,2,0
11610,CAL195251-1,299,SEMAR,sriquelme@insecap.cl,21/04/2023,240000,240000,2,0
11327,ANT195267-9,744,SODEXO CHILE SPA,sbarraza@insecap.cl,24/04/2023,1680000,1680000,5,1
11350,CAL195279,246,METSO,kriquelme@insecap.cl,06/04/2023,140000,0,2,0
11368,ANT195312,137,CUMMINS,chervera@insecap.cl,26/04/2023,741399,741400,3,1
11377,CAL195315-2,299,SEMAR,sriquelme@insecap.cl,06/04/2023,240000,240000,2,0
11212,CAL195324,914,SOC. CONTRACTUAL MINERA EL ABRA,chervera@insecap.cl,17/04/2023,3120000,0,2,0
11483,ANT195336-1,705,KOMATSU CUMMINS CHILE LTDA.,chervera@insecap.cl,14/04/2023,447000,447000,3,1
11369,CAL195343-3,299,SEMAR,sriquelme@insecap.cl,05/04/2023,240000,240000,2,0
11349,CAL195344-2,299,SEMAR,sriquelme@insecap.cl,04/04/2023,240000,240000,2,0
11422,CAL195345-2,299,SEMAR,sriquelme@insecap.cl,11/04/2023,120000,120000,2,0
11421,CAL195347-2,299,SEMAR,sriquelme@insecap.cl,10/04/2023,240000,240000,2,0
11423,CAL195348-1,299,SEMAR,sriquelme@insecap.cl,12/04/2023,240000,240000,2,0
11424,CAL195349-1,299,SEMAR,sriquelme@insecap.cl,13/04/2023,240000,240000,2,0
11333,CAL195350-2,299,SEMAR,sriquelme@insecap.cl,03/04/2023,120000,120000,2,0
12102,CAL195378-4,223,JOY GLOBAL,kriquelme@insecap.cl,18/05/2023,990000,990000,2,0
11398,CAL195404,283,PYC,kriquelme@insecap.cl,06/04/2023,405000,0,2,0
11548,CAL195408,334,Veolia,kriquelme@insecap.cl,14/04/2023,105000,0,2,0
11549,CAL195409-1,334,Veolia,kriquelme@insecap.cl,14/04/2023,60000,60000,2,0
11497,ANT195414,624,VELMAR LTDA,chervera@insecap.cl,04/05/2023,599600,599600,2,0
11902,CAL195415,296,SALFA MANTENCIONES,sbarraza@insecap.cl,09/05/2023,240000,240000,2,0
11200,CAL195435-1,683,Minera Lomas Bayas,chervera@insecap.cl,05/04/2023,571500,571500,2,0
11436,CAL195462,856,CONSORCIO VOB,sriquelme@insecap.cl,10/04/2023,341000,341000,2,0
11282,ANT195467-1,310,SIEMENS,chervera@insecap.cl,01/04/2023,1622160,1622160,2,0
11358,CAL195468-1,226,KOMATSU CHILE S.A,sriquelme@insecap.cl,03/04/2023,200000,200000,2,0
11354,ANT195475,405,FCAB,sriquelme@insecap.cl,05/04/2023,460000,460000,2,0
11563,CAL195478-1,513,HEXAGON MINING,sriquelme@insecap.cl,14/04/2023,45000,45000,2,0
11406,ANT195479,834,TTM CHILE S.A.,sbarraza@insecap.cl,05/04/2023,2250000,2250000,2,0
11234,CAL195488-1,594,BERLIAM SPA,sbarraza@insecap.cl,19/04/2023,672012,736000,3,1
11665,ANT195494-2,223,JOY GLOBAL,kriquelme@insecap.cl,26/04/2023,915600,915600,2,0
11441,ANT195503-3,1038,FairWind Chile SPA,sriquelme@insecap.cl,08/04/2023,200000,200000,2,0
11569,ANT195504-1,134,CONYMET,kriquelme@insecap.cl,18/04/2023,345000,345000,2,0
11442,ANT195505-2,1038,FairWind Chile SPA,sriquelme@insecap.cl,08/04/2023,200000,200000,2,0
11486,ANT195509-2,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,12/05/2023,578000,578000,2,0
11346,ANT195522-3,842,VISAUCO SERVICE SPA,sbarraza@insecap.cl,19/04/2023,811556,811556,2,0
11292,CAL195535,246,METSO,kriquelme@insecap.cl,12/04/2023,702000,0,2,0
11315,ANT195540-2,696,TRAIN LTDA. ,sriquelme@insecap.cl,04/04/2023,600000,600000,2,0
11296,CAL195553-1,246,METSO,kriquelme@insecap.cl,04/04/2023,297500,297500,2,0
11330,CAL195557-6,805,TERMINAL PUERTO ARICA S.A.,sbarraza@insecap.cl,12/04/2023,1451188,1451186,3,1
11501,ANT195558,886,Trek Rental,chervera@insecap.cl,30/06/2023,649400,0,2,0
11337,CAL195562-1,215,INVERSIONES KALLPA SPA,sriquelme@insecap.cl,04/04/2023,1245000,1245000,2,0
12094,ANT195565,688,Beagle,kriquelme@insecap.cl,18/05/2023,840000,0,2,0
11278,CAL195571,1034,Algoritmos Spa,kriquelme@insecap.cl,10/04/2023,350000,0,2,0
